track_id,spotify_playlists,spotify_charts,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,streams
1,553,147,43,263,45,10,826,141381703
2,1474,48,48,126,58,14,382,133716286
3,1397,113,94,207,91,14,949,140003974
4,7858,100,116,207,125,12,548,800840817
5,3133,50,84,133,87,15,425,303236322
6,2186,91,67,213,88,17,946,183706234
7,3090,50,34,222,43,13,418,725980112
8,714,43,25,89,30,13,194,58149378
9,1096,83,60,210,48,11,953,95217315
10,2953,44,49,110,66,13,339,553634067
11,2876,40,41,205,54,12,251,505671438
12,422,55,37,202,21,5,168,58255150
13,12211,115,300,215,745,58,1021,1316855716
14,3528,98,80,156,182,24,1281,387570742
15,23575,130,403,198,863,46,0,2513188493
16,8109,77,183,162,161,12,187,1163093654
17,2942,77,91,212,78,6,0,496795686
18,873,104,80,227,95,24,1173,30546883
19,2610,40,43,100,54,14,187,335222234
20,596,68,8,104,23,2,29,363369738
21,332,26,11,163,10,4,0,86444842
22,516,38,73,119,42,1,150,52135248
23,12859,110,24,98,582,2,73,1297026226
24,1313,40,17,152,32,11,139,200647221
25,1945,87,74,182,87,14,1093,115364561
26,250,26,16,149,10,5,168,78300654
27,7112,77,202,119,318,38,96,899183384
28,859,40,35,109,41,14,211,61245289
29,2420,19,52,107,15,1,325,429829812
30,2988,101,0,0,143,38,0,127408954
31,864,78,71,135,50,1,294,22581161
32,266,34,20,185,13,8,197,52294266
33,6036,88,113,149,245,23,27,843957510
34,9082,56,242,142,165,9,310,999748277
35,4284,49,115,123,184,18,354,618990393
36,1150,31,22,33,34,7,184,123122413
37,672,34,19,108,24,9,212,188933502
38,11434,53,154,123,410,2,81,1355959075
39,7830,42,94,111,151,4,82,786181836
40,584,28,16,159,15,6,100,176553476
41,692,25,10,107,6,3,62,354495408
42,24094,78,372,117,843,4,69,2808096550
43,12482,80,291,184,537,45,727,1109433169
44,13387,64,77,58,247,1,311,1047101291
45,1117,80,82,145,65,16,1133,65156199
46,3372,19,65,48,138,1,102,570515054
47,8431,76,241,127,458,37,332,1085685420
48,2483,59,68,21,24,0,259,1647990401
49,29536,79,281,137,0,1,140,2565529693
50,3408,47,87,86,74,1,16,518745108
51,1298,38,44,64,57,10,110,107753850
52,4277,66,145,111,213,11,810,177740666
53,1133,39,14,71,23,10,176,153372011
54,2259,59,0,0,109,17,0,57876440
55,18371,83,250,122,0,19,0,1813673666
56,43899,69,672,199,0,20,0,3703895074
57,2649,42,67,79,57,1,615,256483385
58,6804,45,139,111,161,15,210,1214083358
59,525,41,34,115,39,6,216,16011326
60,7923,29,106,112,142,4,215,812019557
61,731,15,27,17,73,4,167,111947664
62,5184,41,154,84,102,14,37,156338624
63,3107,39,38,0,4,0,0,720434240
64,4053,50,82,121,182,12,171,357925728
65,4637,38,63,79,89,11,16,674072710
66,31358,43,196,2,0,5,0,1755214421
67,3818,23,37,55,32,0,272,404562836
68,3506,56,105,64,169,8,529,373199958
69,410,36,36,32,31,1,26,14780425
70,148,24,32,93,8,2,5,39578178
71,1004,35,42,80,58,3,169,54266102
72,22543,63,386,144,707,28,0,2557975762
73,4511,36,70,58,109,18,230,751134527
74,16413,61,166,87,0,1,0,2282771485
75,8506,45,94,65,164,14,176,1356565093
76,33898,62,233,0,0,9,0,1592909789
77,3246,23,94,85,68,1,84,635412045
78,8576,42,216,108,331,26,154,1230675890
79,3618,38,47,74,80,14,194,585695368
80,370,20,12,16,18,4,93,43857627
81,31123,55,300,65,0,1,0,2009094673
82,2790,30,60,96,71,0,115,600976848
83,267,9,9,6,25,2,72,39709092
84,139,17,16,72,5,0,8,39228929
85,17050,36,492,99,798,31,0,2665343922
86,2114,44,80,75,110,11,323,223633238
87,17836,53,440,125,0,0,0,2887241814
88,8870,43,104,120,141,26,49,1440757818
89,6060,53,150,148,0,22,1451,165484133
90,641,50,1,52,8,0,1170,58054811
91,1446,12,57,97,35,0,429,157058870
92,804,25,29,76,24,0,162,95131998
93,1962,38,28,89,29,5,82,250305248
94,4875,23,19,45,0,0,10,685032533
95,31,39,2,107,8,0,0,38411956
96,2175,23,69,145,69,2,478,144565150
97,2000,46,49,105,63,1,0,127567540
98,2839,25,58,156,42,1,236,399686758
99,20333,52,89,143,0,3,200,983637508
100,674,47,20,106,25,4,78,118482347
101,8448,23,160,110,163,0,5,882831184
102,2110,58,17,119,19,2,266,286400165
103,2528,39,56,91,59,3,486,172825906
104,12985,61,49,98,0,5,204,1241559043
105,77,35,8,166,4,4,34,29562220
106,266,27,6,40,6,6,202,77309611
107,21097,52,384,135,0,37,312,1605224506
108,3423,21,41,100,59,1,32,1116995633
109,4198,44,98,108,327,17,153,838079900
110,14739,43,88,112,0,5,519,1163620694
111,26792,32,69,113,695,0,458,1093605526
112,213,6,7,6,0,0,48,179659294
113,58,18,2,106,4,2,184,39058561
114,99,15,21,52,6,1,0,36912123
115,41751,25,101,32,0,0,666,1205951614
116,21164,36,80,65,476,0,14,1791000570
117,2988,59,74,102,145,18,925,201660859
118,893,38,19,23,24,3,88,248088961
119,1094,34,40,58,47,8,203,90839753
120,7324,22,25,81,61,1,44,607123776
121,201,11,19,117,8,1,74,55842345
122,5120,48,161,115,246,9,638,211050784
123,2346,27,69,12,38,8,64,342897938
124,763,26,21,110,21,9,71,2762
125,457,24,8,116,4,3,2,330346424
126,3430,38,45,69,52,4,3,601863821
127,6074,52,201,44,0,2,0,1953533826
128,21915,34,437,115,0,12,0,2322580122
129,15032,30,221,96,0,2,136,2355719893
130,871,32,25,59,32,5,88,66902503
131,451,33,10,126,7,0,148,96273746
132,1783,27,26,124,15,1,22,430977451
133,9389,46,24,122,282,3,368,284819874
134,5724,44,119,108,254,29,22,721975598
135,13985,25,30,80,588,1,1,1217120710
136,1051,16,31,37,31,0,189,109276132
137,1682,46,24,90,30,1,176,276259178
138,182,8,3,88,1,0,52,54225632
139,16596,13,7,0,0,0,0,2559529074
140,2335,23,82,55,50,0,9,681583126
141,18986,23,250,121,0,10,31,2594040133
142,283,7,6,9,26,1,66,81102253
143,293,8,5,2,30,2,66,11956641
144,21081,43,98,76,0,5,0,1687664027
145,437,31,17,29,26,3,208,11599388
146,1275,32,13,8,5,0,1,611700552
147,6135,38,71,113,99,13,28,1133865788
148,20015,16,107,69,0,0,558,1089402494
149,1507,14,24,71,44,1,195,411747614
150,539,21,7,71,4,2,13,255932395
151,86,8,7,76,3,1,93,31873544
152,324,14,13,110,8,2,60,95053634
153,17138,37,119,81,974,1,503,1279434863
154,894,9,14,88,66,3,72,233801632
155,1622,9,0,0,356,0,0,1481349984
156,561,14,4,14,12,5,56,142095275
157,5871,27,81,121,58,1,34,618885532
158,29215,43,179,97,0,11,153,2011464183
159,5866,24,107,38,95,0,0,1167330737
160,3859,26,133,181,3,0,0,929964809
161,961,26,19,143,10,6,15,436027885
162,6457,18,98,95,453,0,454,657723613
163,43257,24,433,107,0,0,26,2713922350
164,4564,16,24,101,113,0,40,621660989
165,12688,13,197,115,112,0,200,1591223784
166,13801,19,137,125,435,6,285,950906471
167,22439,19,211,74,929,0,129,1593270737
168,18515,35,70,82,939,1,162,1410088830
169,36843,21,321,91,0,1,58,1235005533
170,2420,11,0,0,806,0,0,1661187319
171,5897,19,0,0,885,0,0,1374581173
172,727,16,17,60,28,1,44,94186466
173,33783,26,133,92,0,1,26,1788326445
174,26694,13,65,82,0,4,13,1840364617
175,356,16,35,102,8,1,117,143573775
176,6518,17,45,85,238,1,47,684675814
177,21335,13,328,70,0,9,20,1113838873
178,23389,29,54,70,0,2,1,1267333350
179,3202,18,148,80,226,24,0,726307468
874,3202,18,148,80,226,24,0,726307468
180,32181,10,33,0,0,7,0,3562543890
181,7124,18,60,20,2,0,0,1131090940
182,592,14,11,84,6,1,30,307370144
183,36724,7,146,72,0,5,80,1271293243
184,794,10,38,25,61,0,263,265882712
185,13091,17,61,96,790,2,116,841749534
186,67,8,7,10,0,0,57,47956378
187,21574,30,112,68,266,1,39,806397070
188,19664,16,391,73,633,3,37,2132335812
189,21106,13,82,0,0,0,0,1641426668
190,23804,31,187,99,0,1,0,2135158446
191,849,22,27,129,21,7,111,367316268
192,2619,12,47,90,1,0,7,350381515
193,9037,42,124,133,139,14,166,1264310836
194,86,11,3,33,3,0,1,30343206
195,1788,14,1,50,19,0,19,405136812
196,15890,14,71,37,653,0,167,1145727611
197,492,36,4,3,19,0,0,540654286
198,773,33,20,46,21,8,99,57312735
199,1154,22,28,125,11,1,51,397582059
200,44927,17,34,0,0,6,0,1479115056
201,551,4,13,46,20,1,10,86773632
202,577,14,22,18,15,1,0,133753727
203,955,29,37,50,79,11,31,123124076
204,995,19,12,117,9,5,3,463564958
205,178,6,6,71,1,0,31,64533040
206,290,19,9,101,5,0,73,65496046
207,547,0,15,15,6,0,0,68616963
208,681,10,15,92,21,2,26,161460990
209,332,5,18,41,5,0,19,70106975
210,1197,13,44,34,25,1,171,113509496
211,262,5,8,60,4,1,109,89933133
212,161,6,10,79,2,0,42,71007139
213,185,3,5,6,4,1,33,43522589
214,839,18,20,110,20,0,69,232896922
215,259,0,5,17,5,0,0,37126685
216,2915,30,116,69,107,3,675,195576623
217,5129,25,116,84,114,18,348,532336353
218,3794,34,47,77,53,10,8,538115192
219,588,0,23,21,31,0,0,46142772
220,2959,16,41,69,38,0,36,401036314
221,291,8,8,78,4,1,1,127026613
222,2321,36,29,65,34,5,3,345031710
223,536,10,10,72,8,3,14,288101651
224,359,2,1,0,9,0,0,60350538
225,4096,6,118,48,143,0,240,335074782
226,349,69,8,96,5,0,56,76767396
227,381,5,23,82,6,0,113,46065667
228,2461,36,47,66,45,5,6,459276435
229,277,1,1,20,5,0,1,39666245
230,967,5,7,29,51,1,29,138517666
231,8186,12,155,72,131,16,29,822633917
232,7842,10,215,88,330,26,23,595900742
233,215,6,6,14,8,2,4,51985779
234,1134,22,39,14,48,2,3,57945987
235,1305,34,29,26,43,5,44,115010040
236,2066,6,58,70,43,0,182,175097833
237,896,0,34,2,33,0,1,57089066
238,3763,8,51,43,38,10,1,488386797
239,197,0,3,10,3,0,0,32761689
240,4004,33,34,65,43,6,2,1047480053
241,984,5,8,57,76,2,49,153454328
242,1240,24,51,29,63,4,54,217672943
243,3995,13,72,27,47,0,0,457184829
244,7681,13,119,66,0,2,0,939844851
245,4427,4,69,100,154,20,438,726434358
246,4657,18,84,84,42,0,23,573633020
247,10195,20,258,87,657,22,9,1406111294
248,269,4,7,2,30,1,11,71573339
249,214,0,3,3,6,0,0,24975653
250,845,2,12,57,47,1,33,145458418
251,20763,27,81,53,0,1,17,1424589568
252,1267,20,41,22,56,4,84,231332117
253,2585,32,3,79,21,1,54,415932686
254,6330,6,109,42,158,3,31,988515741
255,675,1,9,13,11,0,1,50847624
256,715,0,37,3,27,0,50,39893489
257,327,13,14,110,9,0,49,92035115
258,244,12,6,84,10,2,9,118810253
259,385,4,17,7,41,1,29,77233241
260,1020,35,15,26,30,6,0,206399629
261,1730,3,46,5,51,0,20,117747907
262,2127,33,45,80,53,8,4,266624541
263,3242,9,67,55,48,0,6,293186992
264,526,10,15,93,30,0,320,139681964
265,366,15,16,102,7,0,55,123132751
266,472,2,0,0,6,0,0,103762518
267,432,12,8,14,12,2,33,162887075
268,271,12,16,103,9,0,55,91221625
269,816,4,21,4,13,0,4,190490915
270,1169,0,36,65,28,0,0,96180277
271,1282,6,26,6,19,0,5,185240616
272,6587,34,114,104,147,11,20,885093467
273,1444,4,0,0,0,0,0,104992946
274,356,10,4,64,4,2,37,147290338
275,10147,30,234,71,543,18,0,1302184087
276,265,6,8,84,5,1,4,158950978
277,351,9,16,90,10,0,64,76910644
278,158,4,5,6,1,1,18,137123880
279,7613,33,180,90,422,15,55,782369383
280,3956,6,142,23,127,3,16,502574952
281,1638,10,0,0,21,0,0,207033255
282,924,18,17,80,22,9,38,404887295
283,1985,35,34,26,37,5,1,381161027
284,6339,13,3,1,36,1,37,466231982
285,1561,24,18,78,24,0,30,357580552
286,875,4,17,13,27,0,43,61105704
287,406,5,3,31,2,1,0,198275403
288,340,13,4,71,16,1,9,168448603
289,4188,15,30,70,142,0,27,705469769
290,105,0,5,9,5,0,0,34502215
291,1524,17,53,120,62,0,2,482175240
292,2651,30,21,55,32,3,0,304118600
293,11087,6,151,107,801,1,105,1449799467
294,373,19,4,72,5,0,5,173627354
295,200,4,8,77,2,1,1,90025258
296,3741,17,156,35,110,19,0,652704649
297,32502,21,247,54,0,1,51,1829992958
298,7615,14,18,51,0,0,0,655466831
299,1208,34,10,41,20,0,1,146409671
300,209,4,4,45,11,2,24,95816024
301,1235,9,20,8,15,0,6,117206995
302,654,3,11,3,18,1,1,100409613
303,1479,0,23,0,18,0,33,80758350
304,4942,26,190,104,147,18,63,325592432
305,709,0,8,1,13,0,0,58473276
306,660,0,22,7,11,0,78,52722996
307,489,17,4,11,5,1,2,191945597
308,407,0,16,15,5,0,1,77377503
309,7461,8,166,42,199,16,58,743693613
310,993,4,30,84,88,1,28,267789608
311,9161,5,240,98,468,3,10,1221813483
312,3282,12,67,84,46,16,117,449701773
313,596,0,29,9,12,0,52,67070410
314,320,6,5,48,2,1,9,116334601
315,2612,4,19,29,21,0,0,433356509
316,2040,4,81,27,66,9,444,165584767
317,2128,9,37,88,9,0,14,367814306
318,2598,37,28,57,43,8,85,477033549
319,542,2,23,2,21,0,0,156214700
320,2459,20,20,68,50,0,22,448843705
321,10624,17,21,0,386,0,0,1357608774
322,2418,26,52,66,55,1,16,294352144
323,7536,7,44,19,135,0,6,972164968
324,10431,7,71,53,181,0,10,920045682
325,15722,16,231,37,0,0,13,2420461338
326,25744,4,122,94,0,0,18,1947371785
327,1640,0,27,27,29,1,1,244658767
328,34,0,0,0,0,0,0,68216992
329,1845,16,20,8,30,2,0,223582566
330,3301,30,72,64,64,6,3,471819764
331,1911,0,23,71,14,0,9,272377463
332,20111,5,39,0,0,0,0,1361425037
333,1529,0,32,18,39,2,0,149778242
334,615,2,22,82,8,0,9,116599790
335,811,4,11,58,5,0,21,148469433
336,5730,10,108,16,197,3,165,497225336
337,356,4,4,20,0,0,0,88791109
338,604,6,22,101,0,0,66,125917280
339,1190,0,29,3,18,0,19,105062254
340,579,0,11,54,0,0,103,95623148
341,1553,2,61,6,48,0,150,144584800
342,2301,20,49,23,110,0,8,298063749
343,134,4,4,6,0,0,23,166570053
344,430,0,15,17,0,0,0,83021468
345,86,0,11,101,0,0,48,139836056
346,629,14,32,3,9,0,0,303216294
483,629,14,32,3,9,0,0,303216294
347,1701,15,30,15,34,2,47,221409663
348,329,0,14,35,1,0,0,58890931
349,1168,0,45,11,20,0,21,81419389
350,162,6,1,10,1,0,1,156777415
351,2536,6,59,100,58,13,2,284908316
352,387,11,11,15,14,3,1,93438910
353,892,17,20,119,12,2,7,363472647
354,3909,0,66,26,277,3,734,372476382
355,3645,15,118,34,150,4,19,380726517
356,282,0,6,15,0,0,0,56533272
357,888,22,11,24,7,1,7,175399345
358,968,4,16,53,1,0,61,203221468
359,25065,6,63,0,0,2,0,1624165576
360,531,4,20,1,71,2,0,134294498
361,242,0,12,2,13,0,4,70069745
362,5281,14,94,21,80,15,38,609293408
363,2590,30,20,64,35,6,0,671365962
364,1769,34,16,19,21,3,4,362361576
365,454,4,6,1,21,0,1,93587665
366,6180,7,122,88,580,21,10,1223481149
367,3600,11,7,0,203,0,2,1022258230
368,1254,6,26,69,73,2,6,263453310
369,6398,31,177,109,305,3,5,1435127549
370,660,15,19,59,18,5,52,236857112
371,1283,0,57,4,48,0,0,147538971
372,8084,6,45,115,218,1,221,698086140
373,2332,2,0,0,25,0,0,723894473
765,2332,2,0,0,25,0,0,723894473
374,203,0,5,9,0,0,0,34450974
375,685,14,24,94,9,0,23,403097450
376,2460,13,53,7,56,3,1,309483971
377,288,6,11,80,1,0,8,319566866
378,4572,33,74,113,85,9,2,909001996
379,6127,13,0,0,0,0,0,1061966512
380,166,0,2,10,0,0,0,32526947
381,1838,0,105,41,114,1,59,124988687
382,1890,0,86,1,49,0,9,103787664
383,2098,16,88,24,101,7,451,134255790
384,761,12,23,95,11,0,3,301051721
385,1225,0,27,0,28,13,0,156338624
386,415,2,15,40,21,1,15,152850295
387,3469,0,71,95,31,0,2,309653982
388,3311,0,129,31,212,1,41,297328960
389,2616,0,113,17,208,0,192,332506354
390,3006,16,47,60,87,12,124,480507035
391,4260,0,113,92,259,0,1,1065580332
392,482,0,9,1,12,4,3,122763672
393,4013,10,107,44,750,22,0,445763624
394,138,4,13,78,2,0,0,1365184
395,1368,0,12,1,11,0,8,184308753
396,17852,4,69,76,335,0,0,789753877
397,889,20,11,78,35,0,21,323358833
398,4796,9,124,66,212,13,1,606361689
399,658,6,33,7,53,2,0,120972253
400,3009,2,68,89,65,0,25,338564981
401,17492,3,136,24,0,0,30,1606986953
402,6170,7,82,1,231,0,2,1301799902
403,130,4,21,79,2,0,0,140187018
404,27705,10,537,122,0,6,0,1897517891
405,359,0,12,56,13,0,13,107642809
406,1963,16,57,119,77,1,13,551305895
407,5491,14,128,84,75,0,35,556585270
408,27119,0,532,77,0,3,8,2303033973
409,1776,14,1,9,3,0,0,646886885
410,1473,4,27,64,66,1,4,222612678
411,13315,0,300,47,690,0,0,1814349763
412,4057,8,78,21,240,1,52,872137015
413,3045,6,43,53,134,1,32,571386359
414,3006,12,54,32,66,2,0,304079786
415,852,0,14,1,50,0,0,174006928
416,2163,15,72,97,58,0,154,284785823
417,1484,0,22,51,12,0,0,163284000
418,1703,0,38,45,36,16,0,246390068
419,4169,44,57,44,183,1,11,482257456
420,1054,0,9,0,15,0,1,168684524
421,2849,0,39,45,27,0,1,78489819
422,1602,0,12,22,12,0,2,195516622
423,9644,28,120,86,164,4,0,1260594497
424,4827,0,104,17,76,9,2,428685680
425,21811,0,117,1,676,3,0,1024858327
426,168,0,0,0,5,0,0,838586769
427,688,0,14,1,17,0,2,199386237
428,10565,44,238,122,557,17,58,972509632
429,1612,0,34,54,34,0,2,213438580
430,12755,8,344,97,945,15,0,1555511105
431,574,4,38,101,26,0,0,210038833
432,2499,0,70,0,49,0,0,227918678
433,10426,2,133,109,182,1,10,826623384
434,15894,8,198,13,544,0,60,1802514301
435,9424,0,202,50,463,4,0,1329090101
436,713,7,2,4,6,0,0,181831132
437,7758,28,173,79,175,0,168,462791599
438,2537,2,8,18,20,0,1,348647203
439,292,6,26,98,4,0,0,366599607
440,323,0,4,0,14,0,0,90598517
441,14143,4,56,38,0,1,0,1479264469
442,25653,0,387,132,0,0,0,1449779435
443,22153,0,274,111,0,0,0,1159176109
444,14994,0,191,168,206,0,0,769213520
445,10326,0,165,99,104,0,0,741301563
446,12353,0,35,0,549,0,0,807561936
447,9408,0,231,106,439,0,0,834129063
448,8879,0,182,107,160,0,1,663832097
449,6512,0,88,1,277,0,0,446390129
450,5140,0,85,110,500,0,0,690104769
451,6596,0,144,99,251,0,0,485285717
452,3788,0,21,3,10,0,0,520034544
453,7655,0,5,0,291,0,0,476244795
454,9577,0,195,111,310,0,0,629173063
455,10114,0,114,74,262,0,0,404664135
456,1007,0,5,31,1,0,0,98709329
457,1127,0,16,63,8,0,0,110849052
458,10829,0,130,1,390,0,0,460492795
459,1042,0,7,29,3,0,0,94005786
460,7930,0,108,120,73,0,0,395591396
461,11500,0,140,72,251,0,0,389771964
462,1685,0,1,0,29,0,0,403939487
463,14169,0,209,30,449,0,0,481697415
464,1634,0,16,20,4,0,0,110073250
465,906,0,6,21,3,0,0,88092256
466,1087,0,90,35,5,0,0,351636786
